buto _kaina;kvadrato_kaina;adresas;plotas;kambariu_skaicius
199000;4095;Palanga, Palanga, Vanagupės g.;48.59;2
240529;3733;Vilnius, Žirmūnai, Kareivių g.;64.44;3
200860;3453;Vilnius, Burbiškės, Burbiškių g.;58.17;3
139900;2439;Vilnius, Antakalnis, Duburio g.;57.37;2
47500;2317;Kaunas, Vilijampolė, Raudondvario pl.;20.5;2
390000;6725;Vilnius, Senamiestis, Teatro g.;57.99;2
168500;2462;Vilnius, Antakalnis, Duburio g.;68.44;3
435000;5959;Palanga, S. Daukanto g.;73;4
312000;6933;Palanga, S. Daukanto g.;45;3
121900;2651;Klaipėda, Mažasis kaimelis, Senvagės g.;45.99;2
199000;2647;Kaunas, Žaliakalnis, Žeimenos g.;75.19;3
127750;3901;Vilnius, Šnipiškės, Kalvarijų g.;32.75;1
324000;5438;Vilnius, Šnipiškės, Konstitucijos pr.;59.58;2
100737;1564;Kaunas, Žaliakalnis, Žemaičių g.;64.42;2
195000;952;Kaunas, Vaišvydava, Tursono g.;204.84;4
170000;4545;Klaipėda, Senamiestis, Teatro g.;37.4;1
179000;2183;Palanga, Palanga, Saulėlydžio g.;82;3
108000;2616;Klaipėda, Mokykla, Mokyklos g.;41.29;2
690000;6635;Vilnius, Paupys, Aukštaičių g.;104;4
173000;3604;Palanga, Vėžių g.;48;2
249000;4058;Vilnius, Naujininkai, Kapsų g.;61.36;3
160000;3478;Palanga, Palanga, Vėžių g.;46;2
73000;2808;Kaunas, Žaliakalnis, Žalioji g.;26;2
77000;2406;Kaunas, Žaliakalnis, Mituvos g.;32;2
75900;3148;Vilnius, Naujamiestis, T. Ševčenkos g.;24.11;2
145000;2599;Kaunas, Kalniečiai, Kalniečių g.;55.8;2
150000;2921;Vilnius, Pašilaičiai, Dociškių g.;51.36;2
215000;4285;Klaipėda, Centras, Bijūnų g.;50.18;2
88000;2350;Klaipėda, Šauliai, Ragainės g.;37.44;2
103000;2512;Klaipėda, Centras, Danės g.;41;2
315000;4011;Vilnius, Baltupiai, Kazio Ulvydo g.;78.53;3
38940;1770;Palanga, Šventoji, Mėguvos g.;22;1
182117;4137;Vilnius, Naujamiestis, Skroblų g.;44.02;2
164692;2440;Vilnius, Bajorai, Salaspilio g.;67.5;3
307000;2488;Klaipėda, Centras, Žiedų skg.;123.37;4
135000;2213;Palanga, Palanga, Saulėlydžio g.;61;2
252000;3652;Palanga, Palanga, Sermiesčio g.;69;3
319968;3325;Vilnius, Santariškės, M. Bukšos g.;96.22;4
280000;5477;Vilnius, Žirmūnai, Raitininkų g.;51.12;2
160000;2218;Vilnius, Pašilaičiai, Pavilnionių g.;72.14;3
995000;10160;Vilnius, Šnipiškės, Olimpiečių g.;97.93;3
146000;2764;Vilnius, Lazdynėliai, Lazdynėlių g.;52.82;3
118000;2687;Vilnius, Pilaitė, M. Mažvydo g.;43.91;2
830000;5804;Vilnius, Senamiestis, Gedimino pr.;143;3
295000;3782;Vilnius, Karoliniškės, Igno Šimulionio g.;78.01;3
144999;2617;Kaunas, Dainava, Taikos pr.;55.4;3
125000;3000;Kaunas, Žemieji Šančiai, A. Juozapavičiaus pr.;41.67;2
219000;4844;Vilnius, Markučiai, Kaukysos g.;45.21;2
100900;3135;Vilnius, Žirmūnai, Žirmūnų g.;32.19;1
133500;3018;Vilnius, Karoliniškės, Algimanto Petro Kavoliuko g.;44.24;2
145000;3152;Vilnius, Pilaitė, I. Simonaitytės g.;46;2
140000;3415;Vilnius, Karoliniškės, Algimanto Petro Kavoliuko g.;41;2
170000;2024;Klaipėda, Alksnynė, Taikos pr.;84;3
134900;2645;Vilnius, Justiniškės, Taikos g.;51;3
69900;2377;Kaunas, Žaliakalnis, Kalniečių g.;29.41;1
192000;3368;Vilnius, Pilaitė, Tvankstos g.;57;3
164000;4316;Vilnius, Šnipiškės, Lvivo g.;38;2
95000;2879;Vilnius, Justiniškės, Helsinkio g.;33;2
239000;3918;Vilnius, Naujamiestis, Gerosios Vilties g.;61;3
49000;1633;Kaunas, Dainava, Partizanų g.;30;1
229000;4906;Vilnius, Vilkpėdė, Eigulių g.;46.68;2
108000;3092;Vilnius, Naujininkai, Kaminkelio g.;34.93;1
91222;2887;Vilnius, Pilaitė, Pilkalnio g.;31.6;1
86154;2731;Vilnius, Naujamiestis, Smolensko g.;31.55;2
160000;3636;Vilnius, Lazdynėliai, Žaibo g.;44;2
109600;4327;Vilnius, Naujamiestis, Vytenio g.;25.33;1
111000;2467;Palanga, Mėguvos g.;45;2
166000;3773;Vilnius, Lazdynėliai, Žaibo g.;44;2
130251;2963;Vilnius, Visoriai, Visorių g.;43.96;2
208000;2849;Vilnius, Senamiestis, Kaštonų g.;73;2
126321;3900;Vilnius, Naujamiestis, Algirdo g.;32.39;1
168823;3850;Vilnius, Naujamiestis, Marijampolės g.;43.85;2
116875;2750;Vilnius, Karoliniškės, Sietyno g.;42.5;2
139400;4000;Vilnius, Šnipiškės, Šatrijos g.;34.85;2
214900;4082;Vilnius, Naujamiestis, Mindaugo g.;52.64;3
140610;2420;Druskininkų m., Liepų g.;58.1;3
163000;3881;Vilnius, Lazdynėliai, Žaibo g.;42;2
76000;1188;Klaipėda, Žardininkai, Žardininkų g.;64;3
83990;2745;Kaunas, Freda, Europos pr.;30.6;2
119000;2532;Vilnius, Lazdynai, Architektų g.;47;2
174900;2610;Vilnius, Lazdynai, Architektų g.;67.01;4
85500;3139;Vilnius, Šeškinė, Gelvonų g.;27.24;1
129000;2950;Vilnius, Šeškinė, Čiobiškio g.;43.73;2
123900;1906;Vilnius, Pašilaičiai, Perkūnkiemio g.;65;2
104420;2299;Kaunas, Šilainiai, Naujakurių g.;45.41;2
219000;3440;Vilnius, Pilaitė, Padekaniškių g.;63.66;2
132000;2750;Palanga, Sergiškių g.;48;2
133500;2880;Vilnius, Pašilaičiai, Pavilnionių g.;46.36;2
99850;2504;Klaipėda, Labrenciškės, Kretingos g.;39.87;2
168624;2150;Klaipėda, Labrenciškės, Kretingos g.;78.43;3
106075;2297;Klaipėda, Labrenciškės, Kretingos g.;46.17;2
166000;3773;Vilnius, Lazdynėliai, Žaibo g.;44;2
187550;3907;Palanga, Palanga, Virbališkės tak.;48;2
79000;3160;Palanga, Sergiškių g.;25;1
135000;2813;Vilnius, Naujamiestis, Naugarduko g.;48;2
199000;3044;Vilnius, Karoliniškės, Algimanto Petro Kavoliuko g.;65.38;3
184000;5111;Vilnius, Paupys, Krivūlės g.;36;2
115000;2091;Vilnius, Naujininkai, Naujininkų g.;55;2
159000;2195;Vilnius, Pilaitė, Bitėnų g.;72.44;3
155200;3527;Vilnius, Pilaitė, Tvankstos g.;44;2
185500;4033;Vilnius, Baltupiai, Baltupio g.;46;2
215000;4541;Vilnius, Antakalnis, V. Grybo g.;47.35;2
38000;1719;Kaunas, Panemunė, Vaidoto g.;22.11;2
